Pillar,Sub -Pillar,#,Indicator,,Old Weights,New Weights,Algeria,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Romania,Russian Federation,Rwanda,Saudi Arabia,Serbia,Singapore,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Türkiye,Ukraine,UAE,UK,USA,Uzbekistan,Viet Nam,,CoV
CONNECT,Affordability,1,Price of mobile data and voice basket (HC) PPP,,0.290,0.250,64.2,73.6,58.5,88.7,90.6,67.9,88.7,43.4,64.2,77.4,83.0,71.7,77.4,79.2,47.2,88.7,0.0,45.3,81,98.1,50.9,84.9,83.0,90.6,62.3,47.2,28.3,92.5,75.5,58.5,67.9,86.8,66.0,49.1,39.6,81.1,34.0,69.8,79.2,86.8,60.4,77.4,84.9,35.8,96.2,83,77,83.0,83.0,75.5,56.6,83.0,79.2,88.7,22.6,81.1,83.0,37.7,66.0,71.7,100.0,77.4,41.5,60.4,75.5,66.0,50.9,83.0,17.0,92.5,81.1,,0.30
,,2,Price of mobile data and voice basket (LC) PPP,,0.290,0.250,55.6,66.7,48.9,84.4,88.9,60.0,84.4,44.4,55.6,75.6,91.1,64.4,71.1,73.3,40.0,84.4,44.4,40.0,87,100,66.7,80.0,77.8,100.0,60.0,35.6,57.8,88.9,73.3,48.9,60.0,82.2,57.8,48.9,33.3,93.3,35.6,66.7,73.3,95.6,57.8,77.8,86.7,22.2,93.3,77.8,71,77.8,77.8,68.9,55.6,77.8,73.3,91.1,53.3,86.7,77.8,51.1,77.8,68.9,97.8,71.1,48.9,62.2,68.9,57.8,57.8,77.8,0.0,88.9,77.8,,0.29
,,3,Price of cheapest smartphone in USD PPP,,0.14,0.250,49.4,56.1,76.2,-,58.4,53.4,86.2,62.7,92.6,63.2,23.5,64.8,89.1,80.3,85.0,52.3,77.0,26.6,0.0,-,92,96.2,41.6,-,78.9,97.9,71.3,47.3,-,70.3,86.5,84.3,74.8,58.2,55.3,73.4,72.9,-,93.6,83.4,53.0,100.0,-,69.4,-,74.1,47.0,83.4,84.3,73.9,22.6,98.3,74.3,89.3,11.4,77.4,65.8,76.5,98.1,68.6,14.4,52.7,74.1,51.5,73.9,51.5,77.0,86.0,71.7,39.2,63.4,,0.33
,,4,"Fixed (broadband) internet price, USD PPP",,0.29,0.250,78.7,0.0,61.7,77.3,99.3,69.5,77.3,82.3,45.4,73.0,100.0,73.0,62.4,95.0,77.3,75.9,75.9,66.7,81.6,85.1,71,73,73.8,90.8,70.9,61.0,83.0,88.7,83.0,61.7,78.7,85.1,11.9,75.2,89.4,57.4,86.5,59.6,83.0,87.9,69.5,74.5,66.0,35.5,90.8,80.1,75.2,83.7,87.2,12.1,79.4,95.7,92.2,56.7,94.3,73.0,51.8,86.5,76.6,82.3,100.0,58.2,63.8,70.9,75.2,72.3,85.8,71.6,67.4,96.5,89.4,,0.26
,Quality,5,Median Mobile Download Speeds (Mbps),,0.50,0.50,6.1,7.5,16.8,15.2,4.7,16.7,36.7,41.0,13.9,11.9,22.7,5.0,9.1,20.6,13.2,25.3,22.8,6.4,5.3,0.0,20.2,21,10,6.0,18.6,7.3,11.4,18.0,6.4,7.8,8.3,8.2,11.9,8.5,12.6,5.3,59.6,19.8,4.7,16.8,23.7,17.3,5.1,22.5,2.2,4.0,6.6,14.1,20.8,82.7,34.4,10.2,5.3,4.5,30.3,24.0,28.0,15.4,8.3,12.3,4.4,20.6,17.3,18.6,8.5,5.4,100.0,9.2,27.7,6.1,24.9,,0.98
,,6,Median Fixed Broadband Download Speeds (Mbps),,0.50,0.50,10.3,24.9,38.3,25.4,12.8,31.7,52.6,19.6,64.0,84.4,52.4,48.9,36.0,28.0,19.1,65.2,14.9,34.5,19.9,0.0,38.0,84.6,22,10,19.9,19.6,57.2,12.3,7.8,7.8,45.8,67.3,24.7,55.7,18.4,0.8,54.4,38.0,20.2,10.8,54.4,49.9,5.0,39.5,1.3,60.2,22.7,50.6,57.4,45.8,56.4,64.2,19.6,7.1,34.8,22.7,100.0,21.2,8.8,64.5,4.8,46.6,68.3,66.2,14.9,19.6,92.9,37.5,73.8,19.6,69.0,,0.67
,Access,7,Number of internet users,,0.20,0.25,2.7,3.0,1.8,0.4,6.5,0.7,14.2,0.2,2.8,1.2,100.0,3.1,0.1,0.0,0.5,0.2,0.6,0.9,5.8,1.6,0.2,4.7,6.1,1.5,0.5,0.7,0.5,63.6,15.9,2.6,0.2,0.4,4.0,8.1,1.3,1.9,0.1,2.4,8.1,2.1,1.2,0.2,7.1,0.2,9.1,1.9,6.1,2.4,0.5,0.0,3.6,1.0,10.6,0.1,2.5,0.2,0.2,0.2,3.5,3.4,0.7,0.6,0.4,4.8,5.8,2.4,0.6,5.0,26.2,2.1,6.7,,2.64
,,8,Mobile cellular subscriptions,,0.20,0.25,2.6,3.2,1.4,0.4,9.8,0.4,11.3,0.2,1.8,1.2,100.0,4.7,0.1,0.0,0.5,0.2,0.3,0.7,5.8,4.4,0.1,-,5.6,1.8,0.4,0.9,0.3,61.4,18.4,2.2,0.1,0.6,4.0,-,1.2,3.6,-,2.4,7.9,2.9,1.0,0.1,8.6,-,10.1,2.0,6.9,2.6,0.4,0.0,4.5,1.0,14.2,0.5,2.7,0.2,0.3,0.2,5.9,3.1,1.4,0.5,0.4,5.9,4.8,0.9,4.3,-,20.7,1.9,6.7,,2.54
,,9,Population covered by LTE,,0.20,0.25,2.7,2.9,1.4,0.4,11.8,0.6,13.3,0.3,2.5,1.1,98.7,3.5,0.1,0.1,0.5,0.2,0.6,1.0,7.8,3.8,0.2,4.4,5.7,2.2,0.5,1.1,0.5,100.0,19.4,2.9,0.2,0.4,3.9,8.1,1.1,3.6,0.1,2.2,8.7,2.4,1.0,0.1,13.5,0.2,14.0,2.0,7.8,2.5,0.5,0.0,3.4,1.1,9.2,0.8,2.2,0.3,0.2,0.2,4.2,3.1,1.4,0.5,0.4,4.7,5.9,2.2,0.6,4.6,23.6,2.2,6.8,,2.68
,,10,Number of smart phone users,,0.20,0.25,2.7,3.4,2.2,0.6,4.9,0.9,13.0,0.4,3.3,1.2,100.0,3.1,0.2,0.2,0.8,0.4,0.6,0.7,6.1,1.0,0.4,5.1,6.7,1.9,0.7,0.6,0.7,66.1,17.8,2.7,0.3,0.6,4.9,9.5,1.5,2.6,0.3,3.0,7.2,2.4,1.4,0.3,5.1,0.4,5.6,1.9,7.3,2.8,0.7,0.1,4.2,1.4,10.6,0.0,2.3,0.4,0.4,0.3,2.4,4.1,0.6,0.8,0.6,5.0,7.0,3.2,1.0,5.4,29.9,2.3,7.9,,2.57
,AI,,Number of AI users,,,0.33,2.1,3.5,3.9,0.9,5.0,1.4,15.4,0.4,5.7,1.4,100.0,4.7,0.2,0.0,0.9,0.4,0.7,1.0,6.4,3.5,0.3,12.3,10.1,1.0,0.4,0.8,0.9,98.7,15.3,1.9,0.6,1.1,6.8,9.9,0.8,1.6,0.0,2.7,9.7,1.4,2.7,0.5,9.0,0.7,10.9,1.8,8.8,4.4,0.7,0.1,6.5,0.9,4.6,0.0,3.5,0.2,1.2,0.2,5.5,8.3,0.3,1.1,1.0,2.9,5.2,1.1,2.7,11.3,42.1,0.6,9.9,,2.50
,,,Compute capacity (Govt readiness),,,0.33,4.2,10.4,43.6,17.3,7.0,17.0,41.1,9.4,47.5,18.1,88.5,10.4,6.3,7.2,15.4,12.0,2.3,5.4,6.6,3.7,19.3,55.2,61.8,5.1,8.2,4.7,7.8,52.3,21.5,0.0,34.1,21.5,42.7,54.5,6.6,7.9,3.7,19.9,11.7,6.3,41.7,11.4,8.1,19.0,8.9,6.8,9.4,35.1,10.8,6.0,43.6,11.8,21.8,2.3,26.9,6.6,44.9,6.6,31.0,25.8,1.4,36.0,33.3,21.7,12.6,10.0,43.2,54.3,100.0,4.2,9.7,,0.96
,,,AI Infrastructure (Tortoise),,,0.33,13.1,17.2,21.2,21.2,11.1,19.2,21.2,17.2,26.3,24.2,65.7,18.2,-,15.2,18.2,24.2,-,-,15.2,0.0,32.3,30.3,31.3,10.1,19.2,-,22.2,14.1,13.1,14.1,25.3,24.2,22.2,45.5,-,4.0,-,28.3,17.2,15.2,39.4,22.2,4.0,24.2,7.1,17.2,15.2,22.2,21.2,22.2,41.4,21.2,19.2,1.0,22.2,16.2,49.5,17.2,11.1,25.3,10.1,25.3,33.3,24.2,15.2,16.2,28.3,26.3,100.0,-,21.2,,0.65
HARNESS,Apps and platforms  (merge the fintech indicators here only if the public sector wage indicator doesnt work),11,Number (16-64 years) using social media for work related activities,,0.17,0.17,-,2.4,1.1,0.2,-,0.2,15.3,0.2,1.6,1.2,100.0,3.1,-,0.0,0.2,0.1,-,-,4.2,-,-,1.9,2.4,1.7,0.5,-,0.3,54.3,13,-,0.1,0.3,2.1,1.5,-,1.8,-,2.3,6.7,-,0.7,0.1,6.9,0.1,-,-,5.0,1.5,0.4,-,1.1,0.7,6.9,-,1.9,0,0.2,-,3.7,2.1,-,0.2,0.2,3.9,4.5,-,0.8,2.8,14.4,-,5.9,,2.83
,,12,Number of users of digital food delivery platforms,,0.17,0.17,0.6,2.3,1.2,0.5,1.4,0.5,9.7,0.2,2.5,0.6,100.0,1.4,0.0,0.1,0.4,0.3,0.2,0.2,2.1,1.0,0.2,2.9,4.4,0.3,0.2,0.1,0.2,41.2,11.1,0,0,0.3,2.6,5.4,0.2,2.0,0.0,1.6,4.5,0.9,1.1,0.1,5.6,0.2,6.7,0.6,3.1,1.4,0.3,0.0,3.3,0.5,4.1,0.0,2.1,0.1,0.3,0.1,2.0,1.7,0.2,0.6,0.3,2.8,4.4,0.3,0.4,4.4,24.7,0.3,2.8,,3.30
,,13,Number of users of digital health applications,,0.17,0.17,2.0,5.0,4.5,1.4,3.3,2.0,12.1,0.2,6.1,4.2,100.0,3.2,0.5,0.4,0.7,1.5,0.5,0.7,3.7,5.8,1.2,10.4,14.8,0.9,2.8,0.6,1.1,71.2,16.3,3,2,1,7.4,12.9,1.2,1.3,0.2,2.1,6.8,1.8,2.2,0.6,5.7,1.2,9.0,2.0,5.7,3.1,1.6,0.2,5.5,3.2,12.1,0.0,2.3,0.6,0.7,0.7,4.1,6.5,0.5,1.9,1.6,4.8,9.7,1.9,0.8,10.6,68.9,1.5,4.7,,2.35
