Pillar,Sub -Pillar,#,Indicator,,Old Weights,New Weights,Algeria,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Romania,Russian Federation,Rwanda,Saudi Arabia,Serbia,Singapore,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Türkiye,Ukraine,UAE,UK,USA,Uzbekistan,Viet Nam,,CoV
CONNECT,Affordability,1.00,Price of mobile data and voice basket (HC) PPP,,0.29,0.25,69.57,84.78,93.48,100.00,76.09,95.65,89.13,91.30,93.48,93.48,91.30,78.26,86.96,95.65,86.96,95.65,45.65,56.52,63.04,0.00,91.30,97.83,100.00,21.74,86.96,41.30,78.26,76.09,78.26,54.35,97.83,97.83,93.48,89.13,78.26,15.22,91.30,93.48,73.91,56.52,93.48,89.13,30.43,93.48,58.70,80.43,52.17,95.65,95.65,97.83,89.13,95.65,89.13,23.91,89.13,71.74,100.00,80.43,23.91,95.65,91.30,95.65,93.48,80.43,91.30,73.91,84.78,97.83,89.13,84.78,82.61,,0.29
,,2.00,Price of mobile data and voice basket (LC) PPP,,0.29,0.25,48.15,74.07,88.89,100.00,62.96,92.59,81.48,74.07,88.89,85.19,92.59,62.96,77.78,92.59,77.78,100.00,59.26,11.11,81.48,44.44,92.59,96.30,100.00,81.48,81.48,0.00,81.48,70.37,59.26,22.22,96.30,96.30,88.89,85.19,62.96,59.26,85.19,85.19,74.07,77.78,96.30,96.30,7.41,88.89,55.56,66.67,48.15,92.59,92.59,100.00,85.19,92.59,92.59,3.70,92.59,92.59,100.00,77.78,66.67,92.59,92.59,96.30,92.59,66.67,85.19,55.56,92.59,96.30,81.48,74.07,66.67,,0.31
,,3.00,Price of cheapest smartphone in USD PPP,,0.14,0.25,56.52,69.57,95.65,-,84.78,100.00,86.96,84.78,97.83,84.78,67.39,71.74,91.30,93.48,95.65,93.48,84.78,39.13,54.35,-,97.83,100.00,91.30,-,93.48,89.13,89.13,32.61,-,69.57,100.00,95.65,95.65,93.48,80.43,30.43,95.65,-,91.30,67.39,93.48,100.00,-,97.83,-,73.91,45.65,93.48,95.65,97.83,86.96,78.26,91.30,23.91,82.61,84.78,97.83,91.30,91.30,91.30,13.04,93.48,97.83,76.09,82.61,58.70,100.00,95.65,95.65,0.00,65.22,,0.28
,,4.00,"Fixed (broadband) internet price, USD PPP",,0.29,0.25,90.00,72.17,96.52,98.26,96.09,97.39,91.74,96.96,93.91,93.48,99.57,88.70,88.70,99.57,96.96,98.26,92.61,81.30,90.43,47.39,96.96,97.39,98.26,85.22,94.78,76.96,97.39,90.43,90.00,78.26,98.70,98.26,11.86,96.96,97.83,47.83,99.13,91.74,93.91,88.26,97.83,96.96,33.91,96.09,83.91,89.13,83.04,97.83,98.26,94.35,97.39,99.57,99.13,0.00,100.00,92.17,97.39,97.83,86.52,98.26,98.26,96.52,97.39,90.43,95.65,89.13,99.13,96.96,97.83,95.65,93.48,,0.21
,Quality,5.00,Median Mobile Download Speeds (Mbps),,0.50,0.50,6.15,7.47,16.84,15.23,4.69,16.69,36.75,41.00,13.91,11.86,22.69,4.98,9.08,20.64,13.18,25.33,22.84,6.44,5.27,0.00,20.20,20.64,9.96,6.00,18.59,7.32,11.42,18.01,6.44,7.76,8.35,8.20,11.86,8.49,12.59,5.27,59.59,19.77,4.69,16.84,23.72,17.28,5.12,22.55,2.20,3.95,6.59,14.06,20.79,82.72,34.41,10.25,5.27,4.54,30.31,24.01,27.96,15.37,8.35,12.30,4.39,20.64,17.28,18.59,8.49,5.42,100.00,9.22,27.67,6.15,24.89,,0.98
,,6.00,Median Fixed Broadband Download Speeds (Mbps),,0.50,0.50,10.33,24.94,38.29,25.44,12.85,31.74,52.64,19.65,63.98,84.38,52.39,48.87,36.02,27.96,19.14,65.24,14.86,34.51,19.90,0.00,38.04,84.63,22.42,10.33,19.90,19.65,57.18,12.34,7.81,7.81,45.84,67.25,24.69,55.67,18.39,0.76,54.41,38.04,20.15,10.83,54.41,49.87,5.04,39.55,1.26,60.20,22.67,50.63,57.43,45.84,56.42,64.23,19.65,7.05,34.76,22.67,100.00,21.16,8.82,64.48,4.79,46.60,68.26,66.25,14.86,19.65,92.95,37.53,73.80,19.65,69.02,,0.67
,Access,7.00,Number of internet users,,0.20,0.25,75.61,86.59,92.68,92.68,37.80,93.90,82.93,76.83,93.90,89.02,86.59,75.61,84.15,82.93,87.80,98.78,87.80,75.61,57.32,0.00,92.68,91.46,92.68,54.88,86.59,58.54,90.24,45.12,65.85,74.39,95.12,84.15,86.59,80.49,89.02,36.59,97.56,90.24,75.61,73.17,95.12,92.68,25.61,98.78,34.15,75.61,62.20,81.71,84.15,97.56,90.24,80.49,92.68,17.07,100.00,79.27,92.68,86.59,67.07,95.12,37.80,96.34,95.12,85.37,84.15,86.59,100.00,95.12,95.12,78.05,82.93,,0.27
,,8.00,Mobile cellular subscriptions,,0.20,0.25,8.10,11.51,7.67,9.38,6.96,6.39,6.11,8.38,4.97,10.51,10.37,16.34,10.94,8.95,9.66,9.66,4.97,5.97,5.40,0.85,9.52,-,9.94,7.81,7.67,7.53,6.39,2.84,8.95,5.82,7.67,16.90,10.51,-,9.66,9.66,-,11.51,8.10,13.35,9.80,10.09,1.70,-,2.56,9.23,8.10,11.22,9.23,13.49,16.05,8.66,18.04,4.83,14.35,8.81,15.91,11.51,17.19,10.09,10.37,11.51,10.09,14.35,6.96,0.00,100.00,-,7.67,7.39,9.80,,1.12
,,9.00,Population covered by LTE,,0.20,0.25,82.14,96.43,80.36,96.43,100.00,100.00,87.50,100.00,100.00,92.86,100.00,100.00,91.07,100.00,100.00,100.00,96.43,92.86,96.43,0.00,100.00,98.21,100.00,98.21,100.00,98.21,98.21,98.21,98.21,96.43,100.00,98.21,100.00,94.64,85.71,94.64,100.00,100.00,94.64,94.64,98.21,98.21,73.21,96.43,66.07,87.50,98.21,100.00,100.00,100.00,100.00,98.21,87.50,98.21,100.00,98.21,100.00,98.21,98.21,100.00,94.64,100.00,100.00,98.21,100.00,83.93,100.00,100.00,98.21,94.64,100.00,,0.14
,,10.00,Number of smart phone users,,0.20,0.25,69.31,79.21,89.11,79.21,25.74,83.17,60.40,69.31,83.17,64.36,67.33,60.40,61.39,78.22,81.19,88.12,64.36,41.58,62.38,1.98,85.15,77.23,77.23,74.26,77.23,42.57,80.20,45.54,67.33,80.20,87.13,92.08,78.22,71.29,92.08,58.42,77.23,93.07,58.42,71.29,81.19,90.10,23.76,90.10,21.78,63.37,72.28,73.27,75.25,75.25,77.23,76.24,73.27,0.00,78.22,76.24,87.13,78.22,37.62,84.16,26.73,89.11,82.18,67.33,85.15,85.15,100.00,79.21,88.12,78.22,85.15,,0.29
