BLOC, Country                 , Price of mobile data and voice basket (HC)  (% of GNI PC), Price of mobile data and voice basket (HC)  (% of GNI PC), Price of cheapest smartphone (% of GNI per capita), Price of fixed broadband internet (% of GNI), Median Mobile Download Speeds (Mbps), Median Fixed Broadband Download Speed (Mbps), % of population using the internet, Mobile Cellular Subscriptions per 100 population, % of Population covered by LTE, % of population using smartphones users, % of internet users (16-64 years) using social media for work related activities, Percent of internet users using digital food delivery platforms, Percent of internet users using digital health applications, Percent of internet users using e-commerce users, Consumer Spend per internet user on Mobile Apps (millions USD)  PPP per internet user, Percent of internet users using video on demand users, Fixed-broadband Internet traffic per subscriber (GB), Mobile broadband internet traffic (GB per subscription), Value of digital payment transactions (PPP$ adjusted) per internet user, % of internet users who made or received a digital payment, Total digitally delivered services (million USD) as percent of GDP USD, ICT sector employment (% of Total Labour force), Number of Start-ups per limited liability company, Valuation of Unicorns as a percent of GDP, Total funding till date of Startups having their Head Quarters or atleast one office location in India per startup (Millions of USD), Consumer IoT revenues (USD PPP$ adjusted) per internet user, AR/ VR revenues (PPP$ adjusted) per smartphone user, Metaverse revenue (PPP$ adjusted) per smartphone user, DeFi revenue (millions of USD PPP$ adjusted) per internet user, Robotics revenue (millions of USD), Drones revenue (millions of USD), Crypto Index Score, "Cybersecurity revenue (PPP exchange rate adjusted ) in million $ , per internet users", Number of Secure servers per internet user, Ransomware attacks detected per month as a % of internet users, Ransomware victims per million internet users, Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3), E-waste generated (kg per capita) - directly from source, E-waste generated (kg per internet user) - calculated as total divided by internet users, Share of energy startups that are digital, VC investments in AI and environmental sustainability by country (USD million) per capita, Patents filed (2000-2023) in Smart Grids as a % of enabling tech patents, Patents filed (2000-2023) in Information/Communication Technologies for Electromobility as a % of total patents filed, Share of total electricity generated that is renewable, Renewable energy share of electricity production (%), Relative AAL by Climate (% of Exposed value) for the Telecom Sector - Existing Climate, , , , , , , , , , , , , Number of AI users, Compute capacity, Open Data Score, AI Infrastructure, AI Infrastructure, Compute Capacity (Rmax) in Millions, Apps and Platforms, Development: Open Source models score, Relative AI Skill Penetration, AI Talent Pillar Score, Total AI Private Investment in Millions, Newly Funded AI Companies, AI commercial, AI Innovation - Research, AI Research and Development- score, Safety and security, Responsible AI - Conference Submissions on RAI Topics (Total), Public trust score
    , Algeria                 ,                                                      1.60,                                                      1.60, 0.21                                              ,                                         2.60,                                51.00,                                        54.00,                               0.80, 116.00                                          ,                          90.00,                                    0.82, -                                                                               ,                                                           19.45,                                                       12.26,                                            30.38, -                                                                                    ,                                                 75.94, "2,553.62"                                          , 114.40                                                 , -                                                                      , -                                                         ,                                                                   0.83, -                                              , 5.00                                             , -                                        , 0.86                                                                                                                                ,                                                       55.00, 5.00                                               , 11.77                                                , -                                                             ,                               1.00,                             0.18,               5.00,                                                                                   10.82,                                       0.01, 0.0011000                                                     ,                                          0.11,                                                                1.81,                                                     7.50,                                                                                     8.87, 0.00                                     , -                                                                                        ,                                                                     0.20, -                                                                                                                    , -                                                     ,                                                 1.00,                                                                                   0.14, , , , , , , , , , , , ,              12.00,             5.84,           28.00,             43.12, 14.00            , -                                  ,              52.21, 0.00                                 , -                            , 2.00                  , -                                      , -                        , 0.00         , 1.00                    , -                                 ,               33.33, -                                                            , 58.60
G20 , Argentina               ,                                                      0.90,                                                      0.90, 0.15                                              ,                                         6.70,                                60.00,                                       112.00,                               0.89, 140.00                                          ,                          98.00,                                    0.92, 37.60                                                                           ,                                                           62.28,                                                       26.09,                                            66.71, "1,355.34"                                                                           ,                                                 67.20, -                                                   , 60.80                                                  , "6,933.20"                                                             , 63.61                                                     ,                                                                   1.43, 1.48                                           , -                                                , 0.44                                     , 1.97                                                                                                                                ,                                                       73.00, 17.80                                              , 60.26                                                , 10.00                                                         ,                               8.00,                             1.30,              18.00,                                                                                   38.39,                                       0.28, 0.0002000                                                     ,                                          1.23,                                                               15.42,                                                    11.40,                                                                                    12.73, 0.00                                     , 43.77                                                                                    ,                                                                     0.06, 0.11                                                                                                                 , 0.31                                                  ,                                                39.70,                                                                                   0.09, , , , , , , , , , , , ,              19.60,            11.28,           59.00,             50.26, 18.00            , -                                  ,              49.15, 0.50                                 , -                            , 7.00                  , -                                      , -                        , 2.00         , 1.00                    , -                                 ,               93.00, -                                                            , 43.20
G20 , Australia               ,                                                      0.50,                                                      0.50, 0.03                                              ,                                         1.10,                               124.00,                                       165.00,                               0.94, 113.00                                          ,                          89.00,                                    1.02, 29.40                                                                           ,                                                           53.24,                                                       37.74,                                            90.98, "13,079.63"                                                                          ,                                                 62.78, "5,104.33"                                          , 161.70                                                 , "7,659.22"                                                             , 86.97                                                     ,                                                                   1.47, 3.50                                           , 41.00                                            , 2.72                                     , 1.56                                                                                                                                ,                                                      209.00, 69.80                                              , 78.18                                                , 9.00                                                          ,                              31.00,                             4.30,               6.00,                                                                                  179.55,                                       1.28, 0.0005000                                                     ,                                          4.85,                                                               39.09,                                                    22.40,                                                                                    23.16, 0.19                                     , "2,508.12"                                                                               ,                                                                     0.07, 0.07                                                                                                                 , 0.11                                                  ,                                                33.60,                                                                                   0.12, , , , , , , , , , , , ,              36.90,            40.81,           77.00,             70.02, 22.00            , 55.23                              ,              71.12, 0.40                                 , 0.85                         , 17.00                 , 0.02                                   , 0.01                     , 11.00        , 14.00                   , 4.42                              ,              100.00, 23.00                                                        , 16.20
    , Austria                 ,                                                      0.20,                                                      0.20, -%                                                ,                                         0.70,                               113.00,                                       114.00,                               0.94, 125.00                                          ,                          98.00,                                    0.92, 21.60                                                                           ,                                                           73.21,                                                       39.51,                                            69.73, "9,247.21"                                                                           ,                                                 48.81, "2,559.29"                                          , 430.60                                                 , "5,981.48"                                                             , 67.05                                                     ,                                                                   8.09, 3.62                                           , 156.00                                           , 1.45                                     , 1.13                                                                                                                                ,                                                      337.00, 39.00                                              , 79.64                                                , 16.00                                                         ,                              74.00,                             2.23,               2.00,                                                                                   85.16,                                       0.46, 0.0009000                                                     ,                                          4.42,                                                               11.40,                                                    19.60,                                                                                    20.34, 0.43                                     , "6,249.44"                                                                               ,                                                                     0.03, 0.04                                                                                                                 , 0.29                                                  ,                                                80.10,                                                                                   0.17, , , , , , , , , , , , ,              31.40,            17.43,           72.00,             61.39, 22.00            , 29.26                              ,              67.33, 0.00                                 , 0.58                         , 15.00                 , 0.29                                   , 0.08                     , 6.00         , 9.00                    , 0.69                              ,               86.67, 7.00                                                         , 35.10
    , Bangladesh              ,                                                      1.30,                                                      1.20, 0.08                                              ,                                         1.20,                                41.00,                                        64.00,                               0.49, 108.00                                          ,                         100.00,                                    0.38, -                                                                               ,                                                           18.89,                                                        8.55,                                            22.69, -                                                                                    ,                                                 49.78, "1,146.72"                                          , 148.00                                                 , "2,305.44"                                                             , 21.89                                                     ,                                                                   0.45, 0.34                                           , 58.00                                            , -                                        , 0.23                                                                                                                                ,                                                       43.00, 3.40                                               , 26.71                                                , -                                                             ,                               2.00,                             0.15,               7.00,                                                                                    9.11,                                       0.19, 0.0001000                                                     ,                                          0.08,                                                                2.80,                                                     2.20,                                                                                     4.36, 0.33                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                 2.10,                                                                                   0.72, , , , , , , , , , , , ,               7.10,             8.31,           46.00,             39.02, 12.00            , -                                  ,              47.53, 0.20                                 , -                            , 2.00                  , -                                      , -                        , 0.00         , 1.00                    , -                                 ,               33.33, -                                                            , 81.10
    , Belgium                 ,                                                      0.40,                                                      0.40, 0.01                                              ,                                         0.90,                               123.00,                                       139.00,                               0.95, 104.00                                          ,                         100.00,                                    0.96, 19.80                                                                           ,                                                           59.82,                                                       40.18,                                            83.93, "6,996.33"                                                                           ,                                                 75.89, "3,354.96"                                          , 102.50                                                 , "8,244.49"                                                             , 79.91                                                     ,                                                                  14.84, 3.69                                           , 53.00                                            , 1.79                                     , 2.12                                                                                                                                ,                                                      259.00, 26.00                                              , 64.91                                                , 12.00                                                         ,                             179.00,                             1.62,               2.00,                                                                                   82.61,                                       0.46, 0.0002000                                                     ,                                          3.66,                                                               47.63,                                                    21.70,                                                                                    22.50, 0.50                                     , -                                                                                        ,                                                                     0.07, 0.06                                                                                                                 , 0.09                                                  ,                                                32.80,                                                                                   0.08, , , , , , , , , , , , ,              36.00,            17.20,           54.00,             58.83, 20.00            , 2.78                               ,              72.56, 0.30                                 , 0.58                         , 16.00                 , 0.03                                   , 0.02                     , 9.00         , 6.00                    , 0.61                              ,               66.67, 7.00                                                         , 8.10
G20 , Brazil                  ,                                                      0.70,                                                      0.70, 0.07                                              ,                                         2.20,                               260.00,                                       222.00,                               0.86, 102.00                                          ,                          93.00,                                    0.73, 49.10                                                                           ,                                                           57.31,                                                       13.57,                                            91.26, "2,363.26"                                                                           ,                                                 83.08, "1,884.52"                                          , 69.10                                                  , "6,445.66"                                                             , 71.10                                                     ,                                                                   1.48, 1.64                                           , 8.00                                             , 1.70                                     , 2.22                                                                                                                                ,                                                      102.00, 21.10                                              , 33.49                                                , 6.00                                                          ,                               7.00,                             0.43,              27.00,                                                                                   34.70,                                       1.71, 0.0016000                                                     ,                                          0.77,                                                                7.12,                                                    11.40,                                                                                    13.42, 0.29                                     , 391.51                                                                                   ,                                                                     0.05, 0.06                                                                                                                 , 0.83                                                  ,                                                89.00,                                                                                   0.09, , , , , , , , , , , , ,              17.10,            38.57,           69.00,             65.50, 22.00            , 67.91                              ,              59.17, 1.10                                 , 1.20                         , 12.00                 , 0.03                                   , 0.00                     , 7.00         , 3.00                    , 2.92                              ,               83.33, 15.00                                                        , 64.90
G20 , Bulgaria                ,                                                      0.60,                                                      0.90, 0.08                                              ,                                         1.00,                               289.00,                                        91.00,                               0.81, 118.00                                          ,                         100.00,                                    0.82, 38.90                                                                           ,                                                           51.19,                                                       18.28,                                            49.37, "4,701.94"                                                                           ,                                                 63.99, "3,247.93"                                          , 195.60                                                 , "4,627.47"                                                             , 41.87                                                     ,                                                                   7.74, 3.78                                           , 8.00                                             , -                                        , 0.71                                                                                                                                ,                                                      143.00, -                                                  , -                                                    , 2.00                                                          ,                              18.00,                             1.82,               3.00,                                                                                   31.61,                                       0.40, 0.0026000                                                     ,                                          0.91,                                                                5.92,                                                    13.20,                                                                                    16.46, 1.00                                     , -                                                                                        ,                                                                     0.01, 0.00                                                                                                                 , 0.23                                                  ,                                                25.00,                                                                                   0.18, , , , , , , , , , , , ,              27.30,            10.39,           73.00,             53.93, 18.00            , -                                  ,              51.14, 0.00                                 , -                            , 6.00                  , -                                      , -                        , 1.00         , 2.00                    , -                                 ,               66.67, -                                                            , 36.90
    , Canada                  ,                                                      0.50,                                                      0.50, 0.02                                              ,                                         1.70,                               104.00,                                       267.00,                               0.95, 94.00                                           ,                         100.00,                                    0.96, 25.50                                                                           ,                                                           72.53,                                                       33.74,                                            85.82, "9,981.22"                                                                           ,                                                 89.80, "5,005.92"                                          , 98.10                                                  , "9,175.08"                                                             , 77.87                                                     ,                                                                   4.11, 3.52                                           , 172.00                                           , 2.56                                     , 2.30                                                                                                                                ,                                                      185.00, 37.30                                              , 77.12                                                , 8.00                                                          ,                              43.00,                             1.36,              13.00,                                                                                  124.25,                                       1.73, 0.0002000                                                     ,                                          9.30,                                                               53.42,                                                    20.20,                                                                                    20.56, 0.40                                     , "5,107.89"                                                                               ,                                                                     0.05, 0.07                                                                                                                 , 0.32                                                  ,                                                66.20,                                                                                   0.06, , , , , , , , , , , , ,              35.00,            44.24,           78.00,             72.32, 27.00            , 38.93                              ,              70.46, 6.90                                 , 1.13                         , 26.00                 , 0.13                                   , 0.04                     , 23.00        , 15.00                   , 6.46                              ,               66.67, 55.00                                                        , 8.10
G20 , Chile                   ,                                                      0.50,                                                      0.60, 0.08                                              ,                                         1.80,                                90.00,                                       348.00,                               0.91, 133.00                                          ,                          96.00,                                    0.77, 43.50                                                                           ,                                                           43.30,                                                       49.96,                                            75.49, "4,474.86"                                                                           ,                                                 81.60, "7,077.43"                                          , 301.80                                                 , "5,649.87"                                                             , 72.16                                                     ,                                                                   1.30, 2.18                                           , 12.00                                            , 0.76                                     , 3.83                                                                                                                                ,                                                      112.00, 25.80                                              , 51.36                                                , 11.00                                                         ,                               8.00,                             1.23,               3.00,                                                                                   32.86,                                       0.26, 0.0002000                                                     ,                                          1.05,                                                                8.12,                                                    11.70,                                                                                    12.77, 1.00                                     , 0.00                                                                                     ,                                                                     0.06, 0.09                                                                                                                 , 0.25                                                  ,                                                63.20,                                                                                   0.33, , , , , , , , , , , , ,              20.80,            18.18,           67.00,             57.77, 25.00            , -                                  ,              52.95, 0.10                                 , -                            , 5.00                  , -                                      , -                        , 6.00         , 1.00                    ,                                   ,               55.33, -                                                            , 40.50
