Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Bangladesh,20.13,18.94,1.19,1.19,28.0,39.0,AGGREGATION / WEIGHTS,chips diff = 1.19
Italy,19.38,20.34,-0.96,0.96,38.0,24.0,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP (61.1pts)"
Croatia,18.27,17.69,0.58,0.58,51.0,58.0,AGGREGATION / WEIGHTS,chips diff = 0.58
Switzerland,19.77,19.48,0.29,0.29,35.0,37.0,AGGREGATION / WEIGHTS,chips diff = 0.29
Chile,20.32,20.12,0.2,0.2,25.0,28.0,AGGREGATION / WEIGHTS,chips diff = 0.20
Indonesia,23.41,23.54,-0.13,0.13,12.0,11.0,AGGREGATION / WEIGHTS,chips diff = 0.13
Kenya,18.7,18.58,0.12,0.12,47.0,49.0,AGGREGATION / WEIGHTS,chips diff = 0.12
Hungary,18.94,18.82,0.12,0.12,41.0,43.0,AGGREGATION / WEIGHTS,chips diff = 0.12
Qatar,18.54,18.65,-0.11,0.11,49.0,47.0,AGGREGATION / WEIGHTS,chips diff = 0.11
Russian Federation,20.37,20.27,0.1,0.1,24.0,25.0,AGGREGATION / WEIGHTS,chips diff = 0.10
Rwanda,17.58,17.49,0.09,0.09,61.0,61.0,ROUNDING-ONLY,CHIPS diff < 0.1
Greece,17.93,17.84,0.09,0.09,56.0,55.0,ROUNDING-ONLY,CHIPS diff < 0.1
Slovakia,16.69,16.61,0.08,0.08,64.0,64.0,ROUNDING-ONLY,CHIPS diff < 0.1
Sri Lanka,16.67,16.59,0.08,0.08,65.0,65.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ghana,17.58,17.53,0.05,0.05,60.0,60.0,ROUNDING-ONLY,CHIPS diff < 0.1
Thailand,21.27,21.22,0.05,0.05,20.0,20.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ukraine,18.48,18.43,0.05,0.05,50.0,50.0,ROUNDING-ONLY,CHIPS diff < 0.1
Serbia,18.78,18.82,-0.04,0.04,44.0,43.0,ROUNDING-ONLY,CHIPS diff < 0.1
Philippines,20.24,20.2,0.04,0.04,26.0,26.0,ROUNDING-ONLY,CHIPS diff < 0.1
Peru,20.84,20.8,0.04,0.04,22.0,23.0,ROUNDING-ONLY,CHIPS diff < 0.1
Argentina,17.81,17.77,0.04,0.04,58.0,57.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ireland,19.77,19.81,-0.04,0.04,34.0,32.0,ROUNDING-ONLY,CHIPS diff < 0.1
Viet Nam,22.83,22.79,0.04,0.04,13.0,13.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ethiopia,18.16,18.12,0.04,0.04,53.0,52.0,ROUNDING-ONLY,CHIPS diff < 0.1
Colombia,18.97,18.93,0.04,0.04,40.0,40.0,ROUNDING-ONLY,CHIPS diff < 0.1
Algeria,15.75,15.78,-0.03,0.03,68.0,68.0,ROUNDING-ONLY,CHIPS diff < 0.1
Morocco,18.87,18.9,-0.03,0.03,43.0,42.0,ROUNDING-ONLY,CHIPS diff < 0.1
Bulgaria,18.75,18.78,-0.03,0.03,46.0,45.0,ROUNDING-ONLY,CHIPS diff < 0.1
United Arab Emirates,24.07,24.08,-0.01,0.01,9.0,9.0,ROUNDING-ONLY,CHIPS diff < 0.1
Australia,20.83,20.82,0.01,0.01,23.0,22.0,ROUNDING-ONLY,CHIPS diff < 0.1
Türkiye,19.68,19.69,-0.01,0.01,37.0,36.0,ROUNDING-ONLY,CHIPS diff < 0.1
Austria,19.33,19.32,0.01,0.01,39.0,38.0,ROUNDING-ONLY,CHIPS diff < 0.1
Saudi Arabia,18.04,18.03,0.01,0.01,55.0,54.0,ROUNDING-ONLY,CHIPS diff < 0.1
China,58.75,58.76,-0.01,0.01,2.0,2.0,ROUNDING-ONLY,CHIPS diff < 0.1
Costa Rica,18.91,18.92,-0.01,0.01,42.0,41.0,ROUNDING-ONLY,CHIPS diff < 0.1
Nigeria,19.77,19.78,-0.01,0.01,33.0,34.0,ROUNDING-ONLY,CHIPS diff < 0.1
New Zealand,19.9,19.91,-0.01,0.01,31.0,31.0,ROUNDING-ONLY,CHIPS diff < 0.1
