Country,Root_cause,Diverges_at,Pillar,Abs_diff
Bangladesh,AGGREGATION / WEIGHTS,chips diff = 1.19,,1.19
Italy,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP",,0.96
Croatia,AGGREGATION / WEIGHTS,chips diff = 0.58,,0.58
Switzerland,AGGREGATION / WEIGHTS,chips diff = 0.29,,0.29
Chile,AGGREGATION / WEIGHTS,chips diff = 0.20,,0.2
Indonesia,AGGREGATION / WEIGHTS,chips diff = 0.13,,0.13
Kenya,AGGREGATION / WEIGHTS,chips diff = 0.12,,0.12
Hungary,AGGREGATION / WEIGHTS,chips diff = 0.12,,0.12
Qatar,AGGREGATION / WEIGHTS,chips diff = 0.11,,0.11
Russian Federation,AGGREGATION / WEIGHTS,chips diff = 0.10,,0.1
