Country,Divergence_level,Indicator,Published_Indicator,Dashboard_Indicator,Subpillar,Published_Subpillar,Dashboard_Subpillar,Pillar,Published_Pillar,Dashboard_Pillar,Published_CHIPS,Dashboard_CHIPS,Published_Rank,Dashboard_Rank
Bangladesh,indicator,Patents filed (2000-2023) in Smart Grids as a % of enabling tech patents,,0.1,SUSTAINABILITY · Sustainability,49.1,39.3,SUSTAINABILITY,49.1,39.3,20.13,18.93,28.0,39.0
Chile,sub-pillar,,,,INNOVATE · AI,3.5,1.0,INNOVATE,1.8,0.95,20.32,20.12,25.0,28.0
Croatia,sub-pillar,,,,INNOVATE · AI,9.0,2.0,INNOVATE,3.3,1.02,18.27,17.68,51.0,58.0
Hungary,sub-pillar,,,,INNOVATE · AI,3.5,2.0,INNOVATE,1.6,1.14,18.94,18.82,41.0,43.0
Indonesia,indicator,Safety and security,56.0,56.6,PROTECT · AI,72.4,72.65,PROTECT,57.2,57.26,23.41,23.55,12.0,11.0
Indonesia,sub-pillar,,,,INNOVATE · AI,5.5,7.0,INNOVATE,7.4,7.87,23.41,23.55,12.0,11.0
Italy,indicator,"Fixed (broadband) internet price, USD PPP",11.9,73.0,CONNECT · Affordability,52.6,67.9,CONNECT,24.7,28.58,19.38,20.34,38.0,24.0
Kenya,sub-pillar,,,,INNOVATE · AI,1.5,0.0,INNOVATE,1.1,0.57,18.7,18.58,47.0,49.0
Qatar,sub-pillar,,,,INNOVATE · AI,1.5,3.0,INNOVATE,0.6,1.08,18.54,18.65,49.0,47.0
Switzerland,indicator,Public trust score,12.9,12.4,PROTECT · AI,9.6,9.4,PROTECT,35.7,35.62,19.77,19.49,35.0,37.0
Switzerland,sub-pillar,,,,INNOVATE · AI,12.0,8.72,INNOVATE,5.6,4.49,19.77,19.49,35.0,37.0
