Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
China,58.75,61.1316,-2.3816,2.3816,2.0,2.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Real Economy
United States of America,67.27,68.7913,-1.5213,1.5213,1.0,1.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Data Intensity
Bangladesh,20.13,18.9308,1.1992,1.1992,28.0,42.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Italy,19.38,20.3347,-0.9547,0.9547,38.0,26.0,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP (61.1pts)"
Singapore,25.31,26.0339,-0.7239,0.7239,8.0,6.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Data Intensity
Croatia,18.27,17.562,0.708,0.708,51.0,60.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
France,26.26,26.9282,-0.6682,0.6682,5.0,5.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Data Intensity
Netherlands,21.37,22.0206,-0.6506,0.6506,18.0,16.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Ukraine,18.48,19.0438,-0.5638,0.5638,50.0,41.0,INDICATOR (data-version / minmax bound),Safety and security (0.7pts)
Nigeria,19.77,20.2789,-0.5089,0.5089,33.0,27.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Philippines,20.24,20.7423,-0.5023,0.5023,26.0,24.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Israel,21.42,21.9046,-0.4846,0.4846,17.0,17.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Norway,17.32,17.7529,-0.4329,0.4329,62.0,56.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Greece,17.93,17.5029,0.4271,0.4271,56.0,62.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Sweden,19.72,20.1424,-0.4224,0.4224,36.0,31.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Data Intensity
Argentina,17.81,18.1936,-0.3836,0.3836,58.0,55.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Data Intensity; INNOVATE · AI
Saudi Arabia,18.04,18.414,-0.374,0.374,55.0,51.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts); Public trust score (0.5pts)
Morocco,18.87,19.2209,-0.3509,0.3509,43.0,39.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Real Economy; INNOVATE · AI
Viet Nam,22.83,23.1581,-0.3281,0.3281,13.0,13.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Switzerland,19.77,19.4837,0.2863,0.2863,35.0,37.0,INDICATOR (data-version / minmax bound),Public trust score (0.5pts)
New Zealand,19.9,20.1642,-0.2642,0.2642,31.0,29.0,INDICATOR (data-version / minmax bound),Safety and security (0.7pts)
Indonesia,23.41,23.6571,-0.2471,0.2471,12.0,10.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Hungary,18.94,18.7029,0.2371,0.2371,41.0,45.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Pakistan,19.95,20.1866,-0.2366,0.2366,30.0,28.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Czechia,17.82,17.5838,0.2362,0.2362,57.0,59.0,INDICATOR (data-version / minmax bound),Safety and security (0.6pts)
Slovakia,16.69,16.4724,0.2176,0.2176,64.0,65.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Chile,20.32,20.1125,0.2075,0.2075,25.0,32.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
South Africa,18.06,18.2553,-0.1953,0.1953,54.0,52.0,INDICATOR (data-version / minmax bound),Public trust score (0.5pts)
Russian Federation,20.37,20.5101,-0.1401,0.1401,24.0,25.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Iraq,16.25,16.3706,-0.1206,0.1206,66.0,66.0,SUB-PILLAR DROP (missing-data rule),HARNESS · Real Economy; INNOVATE · AI
Qatar,18.54,18.4224,0.1176,0.1176,49.0,50.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Serbia,18.78,18.6778,0.1022,0.1022,44.0,46.0,SUB-PILLAR DROP (missing-data rule),INNOVATE · AI
Egypt,16.86,16.7763,0.0837,0.0837,63.0,63.0,ROUNDING-ONLY,CHIPS diff < 0.1
Bulgaria,18.75,18.6737,0.0763,0.0763,46.0,47.0,ROUNDING-ONLY,CHIPS diff < 0.1
Colombia,18.97,19.0445,-0.0745,0.0745,40.0,40.0,ROUNDING-ONLY,CHIPS diff < 0.1
Rwanda,17.58,17.5066,0.0734,0.0734,61.0,61.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ireland,19.77,19.8415,-0.0715,0.0715,34.0,34.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ethiopia,18.16,18.224,-0.064,0.064,53.0,53.0,ROUNDING-ONLY,CHIPS diff < 0.1
Kenya,18.7,18.6469,0.0531,0.0531,47.0,48.0,ROUNDING-ONLY,CHIPS diff < 0.1
Thailand,21.27,21.3189,-0.0489,0.0489,20.0,20.0,ROUNDING-ONLY,CHIPS diff < 0.1
Algeria,15.75,15.7979,-0.0479,0.0479,68.0,68.0,ROUNDING-ONLY,CHIPS diff < 0.1
Peru,20.84,20.8871,-0.0471,0.0471,22.0,22.0,ROUNDING-ONLY,CHIPS diff < 0.1
Sri Lanka,16.67,16.6272,0.0428,0.0428,65.0,64.0,ROUNDING-ONLY,CHIPS diff < 0.1
Kuwait,18.66,18.6176,0.0424,0.0424,48.0,49.0,ROUNDING-ONLY,CHIPS diff < 0.1
Poland,21.66,21.6977,-0.0377,0.0377,16.0,18.0,ROUNDING-ONLY,CHIPS diff < 0.1
Belgium,18.19,18.2208,-0.0308,0.0308,52.0,54.0,ROUNDING-ONLY,CHIPS diff < 0.1
Portugal,20.02,20.048,-0.028,0.028,29.0,33.0,ROUNDING-ONLY,CHIPS diff < 0.1
Denmark,20.88,20.9073,-0.0273,0.0273,21.0,21.0,ROUNDING-ONLY,CHIPS diff < 0.1
Austria,19.33,19.3526,-0.0226,0.0226,39.0,38.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ghana,17.58,17.6023,-0.0223,0.0223,60.0,58.0,ROUNDING-ONLY,CHIPS diff < 0.1
Republic of Korea,22.72,22.7359,-0.0159,0.0159,14.0,14.0,ROUNDING-ONLY,CHIPS diff < 0.1
Mexico,20.14,20.155,-0.015,0.015,27.0,30.0,ROUNDING-ONLY,CHIPS diff < 0.1
