Country,Divergence_level,Indicator,Published_Indicator,Dashboard_Indicator,Subpillar,Published_Subpillar,Dashboard_Subpillar,Pillar,Published_Pillar,Dashboard_Pillar,Published_CHIPS,Dashboard_CHIPS,Published_Rank,Dashboard_Rank
Algeria,indicator,Ransomware attacks 30 day average,87.91,100.0,PROTECT · Risk of Attack,95.6,99.6,PROTECT,43.7,45.07,21.44,21.61,66.0,68.0
Austria,indicator,Ransomware attacks 30 day average,90.11,100.0,PROTECT · Risk of Attack,88.4,91.67,PROTECT,47.9,48.98,38.7,38.84,19.0,19.0
Brazil,indicator,Ransomware attacks 30 day average,82.42,100.0,PROTECT · Risk of Attack,91.7,97.57,PROTECT,48.9,50.87,34.6,34.85,28.0,29.0
Bulgaria,indicator,Ransomware attacks 30 day average,71.43,100.0,PROTECT · Risk of Attack,88.1,97.67,PROTECT,46.4,49.56,31.2,31.55,40.0,40.0
Colombia,indicator,Ransomware attacks 30 day average,90.11,100.0,PROTECT · Risk of Attack,93.9,97.2,PROTECT,46.9,47.97,28.9,29.01,51.0,53.0
Finland,indicator,% of population that are using AI,37.26,37.9,CONNECT · AI,29.6,29.87,CONNECT,56.3,56.37,39.7,39.9,15.0,16.0
Finland,indicator,Ransomware attacks 30 day average,84.62,100.0,PROTECT · Risk of Attack,89.3,94.47,PROTECT,40.5,42.19,39.7,39.9,15.0,16.0
Germany,indicator,% of population that are using AI,38.65,39.7,CONNECT · AI,43.9,44.27,CONNECT,56.9,56.95,41.2,41.38,11.0,12.0
Germany,indicator,Ransomware attacks 30 day average,91.21,100.0,PROTECT · Risk of Attack,79.6,82.53,PROTECT,50.5,51.52,41.2,41.38,11.0,12.0
Greece,indicator,Ransomware attacks 30 day average,89.01,100.0,PROTECT · Risk of Attack,91.3,95.0,PROTECT,47.3,48.52,32.3,32.49,34.0,35.0
Italy,indicator,"Fixed (broadband) internet price, USD PPP",11.86,97.0,CONNECT · Affordability,72.5,93.78,CONNECT,48.4,53.79,32.4,34.11,33.0,31.0
Italy,indicator,% of population that are using AI,37.26,37.9,CONNECT · AI,34.1,34.27,CONNECT,48.4,53.79,32.4,34.11,33.0,31.0
Italy,indicator,Ransomware attacks 30 day average,75.82,100.0,PROTECT · Risk of Attack,85.1,93.17,PROTECT,48.3,50.99,32.4,34.11,33.0,31.0
Kazakhstan,indicator,% of population that are using AI,12.82,13.8,CONNECT · AI,9.7,10.15,CONNECT,43.5,43.66,30.3,30.6,45.0,48.0
Kazakhstan,indicator,Ransomware attacks 30 day average,89.01,100.0,PROTECT · Risk of Attack,96.0,99.67,PROTECT,52.4,54.26,30.3,30.6,45.0,48.0
Malaysia,indicator,% of population that are using AI,23.22,24.1,CONNECT · AI,23.8,24.1,CONNECT,54.1,54.21,33.9,34.02,30.0,32.0
Malaysia,indicator,Ransomware attacks 30 day average,94.51,100.0,PROTECT · Risk of Attack,95.4,97.27,PROTECT,47.1,47.69,33.9,34.02,30.0,32.0
Mexico,indicator,% of population that are using AI,19.93,20.7,CONNECT · AI,16.3,16.53,CONNECT,42.8,42.86,29.7,29.81,49.0,51.0
Mexico,indicator,Ransomware attacks 30 day average,95.6,100.0,PROTECT · Risk of Attack,96.7,98.2,PROTECT,48.5,49.02,29.7,29.81,49.0,51.0
Peru,indicator,% of population that are using AI,14.56,15.5,CONNECT · AI,12.8,13.17,CONNECT,45.3,45.43,30.7,30.83,43.0,45.0
Peru,indicator,Ransomware attacks 30 day average,91.21,100.0,PROTECT · Risk of Attack,95.0,97.93,PROTECT,52.1,53.04,30.7,30.83,43.0,45.0
Portugal,indicator,Ransomware attacks 30 day average,91.21,100.0,PROTECT · Risk of Attack,89.7,92.67,PROTECT,42.7,43.68,35.0,35.13,27.0,28.0
Republic of Korea,indicator,% of population that are using AI,42.29,43.1,CONNECT · AI,42.4,42.7,CONNECT,62.1,62.16,42.6,42.81,8.0,9.0
Republic of Korea,indicator,Ransomware attacks 30 day average,86.81,100.0,PROTECT · Risk of Attack,92.8,97.2,PROTECT,56.6,58.06,42.6,42.81,8.0,9.0
Russian Federation,indicator,Ransomware attacks 30 day average,57.14,100.0,PROTECT · Risk of Attack,80.8,95.1,PROTECT,42.4,47.15,30.1,30.69,47.0,46.0
Saudi Arabia,indicator,Ransomware attacks 30 day average,31.87,0.0,PROTECT · Risk of Attack,75.6,65.0,PROTECT,39.6,36.03,36.2,35.75,25.0,27.0
Serbia,indicator,% of population that are using AI,26.34,27.6,CONNECT · AI,16.4,16.77,CONNECT,47.7,47.77,30.9,31.04,41.0,43.0
Serbia,indicator,Ransomware attacks 30 day average,87.91,100.0,PROTECT · Risk of Attack,94.6,98.63,PROTECT,41.9,43.24,30.9,31.04,41.0,43.0
Singapore,indicator,Ransomware attacks 30 day average,91.21,100.0,PROTECT · Risk of Attack,58.8,61.77,PROTECT,49.2,50.16,51.1,51.23,2.0,2.0
South Africa,indicator,Ransomware attacks 30 day average,98.9,100.0,PROTECT · Risk of Attack,97.9,98.23,PROTECT,47.4,47.49,24.5,25.29,58.0,57.0
South Africa,indicator,Renewable energy share of electricity production (%),-0.2,,SUSTAINABILITY · Sustainability,28.7,34.54,SUSTAINABILITY,28.7,34.54,24.5,25.29,58.0,57.0
Spain,indicator,% of population that are using AI,61.53,62.1,CONNECT · AI,37.5,37.73,CONNECT,60.7,60.74,36.8,37.0,23.0,23.0
Spain,indicator,Ransomware attacks 30 day average,84.62,100.0,PROTECT · Risk of Attack,85.6,90.73,PROTECT,51.0,52.68,36.8,37.0,23.0,23.0
Sri Lanka,indicator,% of population that are using AI,0.52,1.7,CONNECT · AI,4.0,4.4,CONNECT,31.2,31.29,21.8,21.94,65.0,67.0
Sri Lanka,indicator,Ransomware attacks 30 day average,92.31,100.0,PROTECT · Risk of Attack,95.7,98.27,PROTECT,42.6,43.49,21.8,21.94,65.0,67.0
Switzerland,indicator,% of population that are using AI,49.39,50.0,CONNECT · AI,38.7,38.83,CONNECT,62.2,62.2,39.3,37.65,17.0,21.0
Switzerland,indicator,Ransomware attacks 30 day average,36.26,0.0,PROTECT · Risk of Attack,65.6,53.47,PROTECT,31.6,27.61,39.3,37.65,17.0,21.0
Switzerland,sub-pillar,,,,INNOVATE · AI,31.8,18.43,INNOVATE,30.1,25.62,39.3,37.65,17.0,21.0
Türkiye,indicator,% of population that are using AI,14.38,15.5,CONNECT · AI,14.1,14.43,CONNECT,45.9,45.97,29.5,29.62,50.0,52.0
Türkiye,indicator,Ransomware attacks 30 day average,90.11,100.0,PROTECT · Risk of Attack,95.4,98.7,PROTECT,51.3,52.45,29.5,29.62,50.0,52.0
Uzbekistan,indicator,Ransomware attacks 30 day average,96.7,100.0,PROTECT · Risk of Attack,98.8,99.93,PROTECT,49.8,50.37,22.7,23.45,62.0,64.0
Uzbekistan,indicator,VC investments in AI and environmental sustainability by country (USD million),4.8,,SUSTAINABILITY · Sustainability,32.2,37.76,SUSTAINABILITY,32.2,37.76,22.7,23.45,62.0,64.0
