Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Italy,32.4,34.11,-1.71,1.71,33.0,31.0,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP (85.1pts); % of population that are using AI (0.7pts); Ransomware attacks 30 day average (24.2pts)"
Switzerland,39.3,37.65,1.65,1.65,17.0,21.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.6pts); Ransomware attacks 30 day average (36.3pts)
South Africa,24.5,25.29,-0.79,0.79,58.0,57.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (1.1pts)
Uzbekistan,22.7,23.45,-0.75,0.75,62.0,64.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (3.3pts)
Russian Federation,30.1,30.69,-0.59,0.59,47.0,46.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (42.9pts)
Saudi Arabia,36.2,35.75,0.45,0.45,25.0,27.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (31.9pts)
United Arab Emirates,45.2,45.57,-0.37,0.37,3.0,4.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (27.5pts)
Bulgaria,31.2,31.55,-0.35,0.35,40.0,40.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (28.6pts)
Kazakhstan,30.3,30.6,-0.3,0.3,45.0,48.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average (11.0pts)
Brazil,34.6,34.85,-0.25,0.25,28.0,29.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (17.6pts)
Republic of Korea,42.6,42.81,-0.21,0.21,8.0,9.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.8pts); Ransomware attacks 30 day average (13.2pts)
Spain,36.8,37.0,-0.2,0.2,23.0,23.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.5pts); Ransomware attacks 30 day average (15.4pts)
Finland,39.7,39.9,-0.2,0.2,15.0,16.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.7pts); Ransomware attacks 30 day average (15.4pts)
Greece,32.3,32.49,-0.19,0.19,34.0,35.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (11.0pts)
Germany,41.2,41.38,-0.18,0.18,11.0,12.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average (8.8pts)
Algeria,21.44,21.61,-0.17,0.17,66.0,68.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (12.1pts)
Serbia,30.9,31.04,-0.14,0.14,41.0,43.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.2pts); Ransomware attacks 30 day average (12.1pts)
Sri Lanka,21.8,21.94,-0.14,0.14,65.0,67.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.2pts); Ransomware attacks 30 day average (7.7pts)
Austria,38.7,38.84,-0.14,0.14,19.0,19.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (9.9pts)
Singapore,51.1,51.23,-0.13,0.13,2.0,2.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (8.8pts)
Portugal,35.0,35.13,-0.13,0.13,27.0,28.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (8.8pts)
Peru,30.7,30.83,-0.13,0.13,43.0,45.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average (8.8pts)
Türkiye,29.5,29.62,-0.12,0.12,50.0,52.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.1pts); Ransomware attacks 30 day average (9.9pts)
Malaysia,33.9,34.02,-0.12,0.12,30.0,32.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.9pts); Ransomware attacks 30 day average (5.5pts)
Colombia,28.9,29.01,-0.11,0.11,51.0,53.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (9.9pts)
Mexico,29.7,29.81,-0.11,0.11,49.0,51.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.8pts); Ransomware attacks 30 day average (4.4pts)
Dominican Republic,,32.44,,,,36.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.9pts); Ransomware attacks 30 day average (1.1pts)
Kuwait,,47.43,,,,3.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (3.3pts)
