Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Italy,32.4,34.11,-1.71,1.71,33.0,31.0,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP (85.1pts); % of population that are using AI (0.7pts); Ransomware attacks 30 day average (24.2pts)"
Switzerland,39.3,37.65,1.65,1.65,17.0,21.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.6pts); Ransomware attacks 30 day average (36.3pts)
South Africa,24.5,25.29,-0.79,0.79,58.0,57.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (1.1pts)
Uzbekistan,22.7,23.45,-0.75,0.75,62.0,64.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (3.3pts)
Russian Federation,30.1,30.69,-0.59,0.59,47.0,46.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (42.9pts)
Saudi Arabia,36.2,35.75,0.45,0.45,25.0,27.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (31.9pts)
United Arab Emirates,45.2,45.57,-0.37,0.37,3.0,4.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (27.5pts)
Bulgaria,31.2,31.55,-0.35,0.35,40.0,40.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (28.6pts)
Kazakhstan,30.3,30.6,-0.3,0.3,45.0,48.0,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average (11.0pts)
Brazil,34.6,34.85,-0.25,0.25,28.0,29.0,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average (17.6pts)
Republic of Korea,42.6,42.81,-0.21,0.21,8.0,9.0,INDICATOR (data-version / minmax bound),% of population that are using AI (0.8pts); Ransomware attacks 30 day average (13.2pts)
