Country,Root_cause,Diverges_at,Pillar,Abs_diff
Italy,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP (85.1pts); % of population that are using AI (0.7pts); Ransomware attacks 30 day average",,1.71
Switzerland,INDICATOR (data-version / minmax bound),% of population that are using AI (0.6pts); Ransomware attacks 30 day average,,1.65
South Africa,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.79
Uzbekistan,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.75
Russian Federation,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.59
Saudi Arabia,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.45
United Arab Emirates,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.37
Bulgaria,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.35
Kazakhstan,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average,,0.3
Brazil,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.25
Republic of Korea,INDICATOR (data-version / minmax bound),% of population that are using AI (0.8pts); Ransomware attacks 30 day average,,0.21
Spain,INDICATOR (data-version / minmax bound),% of population that are using AI (0.5pts); Ransomware attacks 30 day average,,0.2
Finland,INDICATOR (data-version / minmax bound),% of population that are using AI (0.7pts); Ransomware attacks 30 day average,,0.2
Greece,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.19
Germany,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average,,0.18
Algeria,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.17
Serbia,INDICATOR (data-version / minmax bound),% of population that are using AI (1.2pts); Ransomware attacks 30 day average,,0.14
Sri Lanka,INDICATOR (data-version / minmax bound),% of population that are using AI (1.2pts); Ransomware attacks 30 day average,,0.14
Austria,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.14
Singapore,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.13
Portugal,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.13
Peru,INDICATOR (data-version / minmax bound),% of population that are using AI (1.0pts); Ransomware attacks 30 day average,,0.13
Türkiye,INDICATOR (data-version / minmax bound),% of population that are using AI (1.1pts); Ransomware attacks 30 day average,,0.12
Malaysia,INDICATOR (data-version / minmax bound),% of population that are using AI (0.9pts); Ransomware attacks 30 day average,,0.12
Colombia,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,0.11
Mexico,INDICATOR (data-version / minmax bound),% of population that are using AI (0.8pts); Ransomware attacks 30 day average,,0.11
Dominican Republic,INDICATOR (data-version / minmax bound),% of population that are using AI (0.9pts); Ransomware attacks 30 day average,,
Kuwait,INDICATOR (data-version / minmax bound),Ransomware attacks 30 day average,,
