Country,Published_CHIPS,Dashboard_CHIPS,Signed_diff,Abs_diff,Published_Rank,Dashboard_Rank,Cause,First_divergence_detail
Italy,32.4,33.76,-1.36,1.36,33.0,32.0,INDICATOR (data-version / minmax bound),"Fixed (broadband) internet price, USD PPP (85.1pts)"
Switzerland,39.3,38.14,1.16,1.16,17.0,21.0,AGGREGATION / WEIGHTS,chips diff = 1.16
Uzbekistan,22.7,23.38,-0.68,0.68,62.0,64.0,AGGREGATION / WEIGHTS,chips diff = 0.68
South Africa,24.5,24.72,-0.22,0.22,58.0,60.0,INDICATOR (data-version / minmax bound),Renewable energy share of electricity production (%) (8.3pts)
Qatar,36.9,36.85,0.05,0.05,22.0,23.0,ROUNDING-ONLY,CHIPS diff < 0.1
New Zealand,37.1,37.05,0.05,0.05,21.0,22.0,ROUNDING-ONLY,CHIPS diff < 0.1
Serbia,30.9,30.85,0.05,0.05,41.0,43.0,ROUNDING-ONLY,CHIPS diff < 0.1
Croatia,33.1,33.06,0.04,0.04,32.0,34.0,ROUNDING-ONLY,CHIPS diff < 0.1
Mexico,29.7,29.74,-0.04,0.04,49.0,51.0,ROUNDING-ONLY,CHIPS diff < 0.1
Argentina,30.6,30.56,0.04,0.04,44.0,46.0,ROUNDING-ONLY,CHIPS diff < 0.1
Kazakhstan,30.3,30.34,-0.04,0.04,45.0,47.0,ROUNDING-ONLY,CHIPS diff < 0.1
Viet Nam,30.8,30.84,-0.04,0.04,42.0,44.0,ROUNDING-ONLY,CHIPS diff < 0.1
Bulgaria,31.2,31.16,0.04,0.04,40.0,42.0,ROUNDING-ONLY,CHIPS diff < 0.1
Türkiye,29.5,29.46,0.04,0.04,50.0,52.0,ROUNDING-ONLY,CHIPS diff < 0.1
Thailand,31.7,31.66,0.04,0.04,37.0,39.0,ROUNDING-ONLY,CHIPS diff < 0.1
Costa Rica,31.3,31.27,0.03,0.03,39.0,41.0,ROUNDING-ONLY,CHIPS diff < 0.1
Iraq,22.2,22.23,-0.03,0.03,64.0,66.0,ROUNDING-ONLY,CHIPS diff < 0.1
Romania,32.2,32.17,0.03,0.03,35.0,37.0,ROUNDING-ONLY,CHIPS diff < 0.1
Pakistan,22.3,22.27,0.03,0.03,63.0,65.0,ROUNDING-ONLY,CHIPS diff < 0.1
Norway,42.3,42.27,0.03,0.03,9.0,10.0,ROUNDING-ONLY,CHIPS diff < 0.1
Morocco,25.9,25.93,-0.03,0.03,52.0,54.0,ROUNDING-ONLY,CHIPS diff < 0.1
Malaysia,33.9,33.93,-0.03,0.03,30.0,31.0,ROUNDING-ONLY,CHIPS diff < 0.1
Ukraine,25.3,25.33,-0.03,0.03,53.0,55.0,ROUNDING-ONLY,CHIPS diff < 0.1
Colombia,28.9,28.87,0.03,0.03,51.0,53.0,ROUNDING-ONLY,CHIPS diff < 0.1
